btc,btc_1,btc_2,btc_3,eth,eth_1,eth_2,eth_3,ltc,ltc_1,ltc_2,ltc_3,xrp,xrp_1,xrp_2,xrp_3
1763.7,1772.6,1708.9,1729.3,89.9,90.37,92.56,88.17,29.09,28.9,25.61,23.6,0.2102,0.2171,0.2631,0.325
1772.6,1708.9,1729.3,1801.3,90.37,92.56,88.17,89.67,28.9,25.61,23.6,25.3,0.2171,0.2631,0.325,0.375
1708.9,1729.3,1801.3,1881.0,92.56,88.17,89.67,98.6,25.61,23.6,25.3,28.58,0.2631,0.325,0.375,0.3575
1729.3,1801.3,1881.0,1962.0,88.17,89.67,98.6,124.4,23.6,25.3,28.58,27.55,0.325,0.375,0.3575,0.3224
1801.3,1881.0,1962.0,2040.2,89.67,98.6,124.4,123.03,25.3,28.58,27.55,27.34,0.375,0.3575,0.3224,0.3449
1881.0,1962.0,2040.2,2044.2,98.6,124.4,123.03,146.14,28.58,27.55,27.34,25.92,0.3575,0.3224,0.3449,0.324
1962.0,2040.2,2044.2,2124.4,124.4,123.03,146.14,154.92,27.55,27.34,25.92,24.71,0.3224,0.3449,0.324,0.2988
2040.2,2044.2,2124.4,2272.6,123.03,146.14,154.92,168.24,27.34,25.92,24.71,31.06,0.3449,0.324,0.2988,0.3229
2044.2,2124.4,2272.6,2445.3,146.14,154.92,168.24,183.88,25.92,24.71,31.06,34.31,0.324,0.2988,0.3229,0.29
2124.4,2272.6,2445.3,2307.2,154.92,168.24,183.88,168.71,24.71,31.06,34.31,29.64,0.2988,0.3229,0.29,0.24
2272.6,2445.3,2307.2,2244.9,168.24,183.88,168.71,152.8,31.06,34.31,29.64,25.93,0.3229,0.29,0.24,0.276
2445.3,2307.2,2244.9,2052.4,183.88,168.71,152.8,149.99,34.31,29.64,25.93,23.5,0.29,0.24,0.276,0.21
2307.2,2244.9,2052.4,2189.0,168.71,152.8,149.99,161.91,29.64,25.93,23.5,24.73,0.24,0.276,0.21,0.2281
2244.9,2052.4,2189.0,2278.2,152.8,149.99,161.91,189.99,25.93,23.5,24.73,25.77,0.276,0.21,0.2281,0.2324
2052.4,2189.0,2278.2,2192.6,149.99,161.91,189.99,224.69,23.5,24.73,25.77,24.11,0.21,0.2281,0.2324,0.2042
2189.0,2278.2,2192.6,2303.3,161.91,189.99,224.69,218.34,24.73,25.77,24.11,25.88,0.2281,0.2324,0.2042,0.2475
2278.2,2192.6,2303.3,2412.6,189.99,224.69,218.34,211.4,25.77,24.11,25.88,27.74,0.2324,0.2042,0.2475,0.3364
2192.6,2303.3,2412.6,2492.6,224.69,218.34,211.4,214.77,24.11,25.88,27.74,27.9,0.2042,0.2475,0.3364,0.2959
2303.3,2412.6,2492.6,2545.4,218.34,211.4,214.77,217.01,25.88,27.74,27.9,27.4,0.2475,0.3364,0.2959,0.2921
2412.6,2492.6,2545.4,2524.1,211.4,214.77,217.01,241.06,27.74,27.9,27.4,27.79,0.3364,0.2959,0.2921,0.2941
2492.6,2545.4,2524.1,2705.0,214.77,217.01,241.06,242.16,27.9,27.4,27.79,30.7,0.2959,0.2921,0.2941,0.2888
2545.4,2524.1,2705.0,2870.5,217.01,241.06,242.16,261.89,27.4,27.79,30.7,30.1,0.2921,0.2941,0.2888,0.284
2524.1,2705.0,2870.5,2691.5,241.06,242.16,261.89,250.7,27.79,30.7,30.1,28.6,0.2941,0.2888,0.284,0.2762
2705.0,2870.5,2691.5,2798.8,242.16,261.89,250.7,256.95,30.7,30.1,28.6,30.08,0.2888,0.284,0.2762,0.2869
2870.5,2691.5,2798.8,2811.4,261.89,250.7,256.95,278.41,30.1,28.6,30.08,29.56,0.284,0.2762,0.2869,0.2814
2691.5,2798.8,2811.4,2900.3,250.7,256.95,278.41,325.88,28.6,30.08,29.56,30.13,0.2762,0.2869,0.2814,0.2598
2798.8,2811.4,2900.3,2973.4,256.95,278.41,325.88,336.33,30.08,29.56,30.13,34.04,0.2869,0.2814,0.2598,0.2701
2811.4,2900.3,2973.4,2656.8,278.41,325.88,336.33,386.9,29.56,30.13,34.04,29.06,0.2814,0.2598,0.2701,0.2467
2900.3,2973.4,2656.8,2713.0,325.88,336.33,386.9,382.7,30.13,34.04,29.06,30.32,0.2598,0.2701,0.2467,0.2626
2973.4,2656.8,2713.0,2467.3,336.33,386.9,382.7,335.95,34.04,29.06,30.32,28.81,0.2701,0.2467,0.2626,0.2623
2656.8,2713.0,2467.3,2442.5,386.9,382.7,335.95,338.7,29.06,30.32,28.81,28.97,0.2467,0.2626,0.2623,0.245
2713.0,2467.3,2442.5,2508.6,382.7,335.95,338.7,348.44,30.32,28.81,28.97,33.89,0.2626,0.2623,0.245,0.2506
2467.3,2442.5,2508.6,2655.1,335.95,338.7,348.44,364.56,28.81,28.97,33.89,46.01,0.2623,0.245,0.2506,0.2597
2442.5,2508.6,2655.1,2539.6,338.7,348.44,364.56,348.88,28.97,33.89,46.01,43.66,0.245,0.2506,0.2597,0.2651
2508.6,2655.1,2539.6,2616.8,348.44,364.56,348.88,355.5,33.89,46.01,43.66,47.63,0.2506,0.2597,0.2651,0.281
2655.1,2539.6,2616.8,2754.4,364.56,348.88,355.5,344.15,46.01,43.66,47.63,45.63,0.2597,0.2651,0.281,0.308
2539.6,2616.8,2754.4,2677.6,348.88,355.5,344.15,321.66,43.66,47.63,45.63,44.0,0.2651,0.281,0.308,0.2726
2616.8,2754.4,2677.6,2722.8,355.5,344.15,321.66,320.94,47.63,45.63,44.0,45.98,0.281,0.308,0.2726,0.2779
2754.4,2677.6,2722.8,2710.4,344.15,321.66,320.94,324.37,45.63,44.0,45.98,46.03,0.308,0.2726,0.2779,0.2916
2677.6,2722.8,2710.4,2590.1,321.66,320.94,324.37,296.89,44.0,45.98,46.03,43.05,0.2726,0.2779,0.2916,0.2775
2722.8,2710.4,2590.1,2541.6,320.94,324.37,296.89,277.0,45.98,46.03,43.05,40.8,0.2779,0.2916,0.2775,0.2577
2710.4,2590.1,2541.6,2446.1,324.37,296.89,277.0,251.3,46.03,43.05,40.8,38.15,0.2916,0.2775,0.2577,0.2461
2590.1,2541.6,2446.1,2583.8,296.89,277.0,251.3,279.0,43.05,40.8,38.15,40.5,0.2775,0.2577,0.2461,0.2618
2541.6,2446.1,2583.8,2577.7,277.0,251.3,279.0,311.62,40.8,38.15,40.5,42.0,0.2577,0.2461,0.2618,0.2686
2446.1,2583.8,2577.7,2558.4,251.3,279.0,311.62,285.3,38.15,40.5,42.0,40.2,0.2461,0.2618,0.2686,0.2561
2583.8,2577.7,2558.4,2480.6,279.0,311.62,285.3,275.62,40.5,42.0,40.2,39.49,0.2618,0.2686,0.2561,0.2466
2577.7,2558.4,2480.6,2424.6,311.62,285.3,275.62,255.0,42.0,40.2,39.49,38.37,0.2686,0.2561,0.2466,0.2386
2558.4,2480.6,2424.6,2536.5,285.3,275.62,255.0,277.64,40.2,39.49,38.37,41.59,0.2561,0.2466,0.2386,0.2537
2480.6,2424.6,2536.5,2572.5,275.62,255.0,277.64,273.99,39.49,38.37,41.59,45.51,0.2466,0.2386,0.2537,0.2523
2424.6,2536.5,2572.5,2617.3,255.0,277.64,273.99,266.68,38.37,41.59,45.51,54.89,0.2386,0.2537,0.2523,0.2473
2536.5,2572.5,2617.3,2627.9,277.64,273.99,266.68,264.77,41.59,45.51,54.89,53.4,0.2537,0.2523,0.2473,0.252
