"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2018","5.8828","5.8348","5.9957","5.7750","2.23M","0.82%"
"Apr 06, 2018","5.8348","6.3147","6.3714","5.6690","8.26M","-7.69%"
"Apr 05, 2018","6.3210","5.6496","6.4000","5.4000","8.23M","11.88%"
"Apr 04, 2018","5.6496","6.0099","6.0630","5.4881","3.41M","-5.97%"
"Apr 03, 2018","6.0081","5.8200","6.1377","5.7299","3.99M","3.35%"
"Apr 02, 2018","5.8132","5.5931","5.8880","5.4944","4.41M","3.88%"
"Apr 01, 2018","5.5960","5.9218","5.9811","5.1211","8.19M","-5.33%"
"Mar 31, 2018","5.9110","6.0069","6.1529","5.8663","3.72M","-1.60%"
"Mar 30, 2018","6.0069","5.8775","6.1684","5.7000","9.67M","2.20%"
"Mar 29, 2018","5.8775","6.2078","6.2800","5.7507","10.97M","-5.32%"
"Mar 28, 2018","6.2078","5.8018","6.4630","5.6230","7.64M","6.77%"
"Mar 27, 2018","5.8140","5.7800","6.5000","5.1865","18.06M","0.59%"
"Mar 26, 2018","5.7800","6.4266","6.5027","5.2614","14.79M","-10.06%"
"Mar 25, 2018","6.4266","6.4999","6.6680","6.3800","3.60M","-1.05%"
"Mar 24, 2018","6.4948","6.9248","7.0594","6.4715","5.77M","-6.33%"
"Mar 23, 2018","6.9340","6.8814","7.0563","6.2136","11.93M","0.76%"
"Mar 22, 2018","6.8814","6.8950","7.2500","6.1301","13.63M","-0.20%"
"Mar 21, 2018","6.8954","5.9231","7.2775","5.8557","13.06M","16.40%"
"Mar 20, 2018","5.9239","6.1790","6.3500","5.3392","13.73M","-4.17%"
"Mar 19, 2018","6.1817","4.6108","6.2480","4.5154","14.32M","34.07%"
